,throttle,steer,pitch,yaw,roll,jump,boost,handbrake
8581,,,,,,False,,
8582,,,,,,False,,
8583,,,,,,False,,
8584,,,,,,False,,
8585,,,,,,False,,
8586,,,,,,False,,
8587,,,,,,False,,
8588,,,,,,False,,
8589,,,,,,False,,
8590,,,,,,False,,
8591,,,,,,False,,
8592,,,,,,False,,
8593,,,,,,False,,
8594,,,,,,False,,
8595,,,,,,False,,
8596,,,,,,False,,
8597,,,,,,False,,
8598,,,,,,False,,
8599,,,,,,False,,
8600,,,,,,False,,
8601,,,,,,False,,
8602,,,,,,False,,
8603,,,,,,False,,
8604,,,,,,False,,
8605,,,,,,False,,
8606,,,,,,False,,
8607,,,,,,False,,
8608,,,,,,False,,
8609,,,,,,False,,
8610,,,,,,False,,
8611,,,,,,False,,
8612,,,,,,False,,
8613,,,,,,False,,
8614,,,,,,False,,
8615,,,,,,False,,
8616,,,,,,False,,
8617,,,,,,False,,
8618,,,,,,False,,
8619,,,,,,False,,
8620,,,,,,False,,
8621,,,,,,False,,
8622,,,,,,False,,
8623,,,,,,False,,
8624,,,,,,False,,
8625,,,,,,False,,
8626,,,,,,False,,
8627,,,,,,False,,
8628,,,,,,False,,
8629,,,,,,False,,
8630,,,,,,False,,
8631,,,,,,False,,
8632,,,,,,False,,
8633,,,,,,False,,
8634,,,,,,False,,
8635,,,,,,False,,
8636,,,,,,False,,
8637,,,,,,False,,
8638,,,,,,False,,
8639,,,,,,False,,
8640,,,,,,False,,
8641,,,,,,False,,
8642,,,,,,False,,
8643,,,,,,False,,
8644,,,,,,False,,
8645,,,,,,False,,
8646,,,,,,False,,
8647,,,,,,False,,
8648,,,,,,False,,
8649,,,,,,False,,
8650,,,,,,False,,
8651,,,,,,False,,
8652,,,,,,False,,
8653,,,,,,False,,
8654,,,,,,False,,
8655,,,,,,False,,
8656,,,,,,False,,
8657,,,,,,False,,
8658,,,,,,False,,
8659,,,,,,False,,
8660,,,,,,False,,
8661,,,,,,False,,
8662,,,,,,False,,
8663,,,,,,False,,
8664,,,,,,False,,
8665,,,,,,False,,
8666,,,,,,False,,
8667,,,,,,False,,
8668,,,,,,False,,
8669,,,,,,False,,
8670,,,,,,False,,
8671,,,,,,False,,
8672,,,,,,False,,
8673,,,,,,False,,
8674,,,,,,False,,
8675,,,,,,False,,
8676,,,,,,False,,
8677,,,,,,False,,
8678,,,,,,False,,
8679,,,,,,False,,
8680,,,,,,False,,
8681,,,,,,False,,
8682,,,,,,False,,
8683,,,,,,False,,
8684,,,,,,False,,
8685,,,,,,False,,
8686,,,,,,False,False,
8687,,,-0.0011391330941511063,-0.09890274232468486,-0.0004931673684098101,False,False,
8688,,,,,,False,False,
8689,,,,,,False,False,
8690,,,,,,False,False,
8691,,,,,,False,False,
8692,,,,,,False,False,
8693,,,,,,False,False,
8694,,,,,,False,False,
8695,,,,,,False,False,
8696,,,,,,False,False,
8697,,,,,,False,False,
8698,,,,,,False,False,
8699,,,,,,False,False,
8700,,,,,,False,False,
8701,,,,,,False,False,
8702,,,,,,False,False,
8703,,,,,,False,False,
8704,,,,,,False,False,
8705,,,,,,False,False,
8706,,,,,,False,False,
8707,,,,,,False,False,
8708,,,,,,False,False,
8709,,,,,,False,False,
8710,,,,,,False,False,
8711,,,,,,False,False,
8712,,,,,,False,False,
8713,,,,,,False,False,
8714,,,,,,False,False,
8715,,,,,,False,False,
8716,,,,,,False,False,
8717,,,,,,False,False,
8718,,,,,,False,False,
8719,,,,,,False,False,
8720,,,,,,False,False,
8721,,,,,,False,False,
8722,,,,,,False,False,
8723,,,,,,False,False,
8724,,,,,,False,False,
8725,,,,,,False,False,
8726,,,,,,False,False,
8727,,,,,,False,False,
8728,,,,,,False,False,
8729,,,,,,False,False,
8730,,,,,,False,False,
8731,,,,,,False,False,
8732,,,,,,False,False,
8733,,,,,,False,False,
8734,,,,,,False,False,
8735,,,,,,False,False,
8736,,,,,,False,False,
8737,,,,,,False,False,
8738,,,,,,False,False,
8739,,,,,,False,False,
8740,,,,,,False,False,
8741,,,,,,False,False,
8742,,,,,,False,False,
8743,,,,,,False,False,
8744,,,,,,False,False,
8745,,,,,,False,False,
8746,,,,,,False,False,
8747,,,,,,False,False,
8748,,,,,,False,False,
8749,,,,,,False,False,
8750,,,,,,False,False,
8751,,,,,,False,False,
8752,,,,,,False,False,
8753,,,,,,False,False,
8754,,,,,,False,False,
8755,,,,,,False,False,
8756,,,,,,False,False,
8757,,,,,,False,False,
8758,,,,,,False,False,
8759,,,,,,False,False,
8760,,,,,,False,False,
8761,,,,,,False,False,
8762,,,,,,False,False,
8763,,,,,,False,False,
8764,,,,,,False,False,
8765,,,,,,False,False,
8766,,,,,,False,False,
8767,,,,,,False,False,
8768,,,,,,False,False,
8769,,,,,,False,False,
8770,,,,,,False,False,
8771,,,,,,False,False,
8772,,,,,,False,False,
8773,,,,,,False,False,
8774,,,,,,False,False,
8775,,,,,,False,False,
8776,,,,,,False,False,
8777,,,,,,False,False,
8778,,,,,,False,False,
8779,,,,,,False,False,
8780,,,,,,False,False,
8781,,,,,,False,False,
8782,,,,,,False,False,
8783,,,,,,False,False,
8784,,,,,,False,False,
8785,,,,,,False,False,
8786,,,,,,False,False,
8787,,,,,,False,False,
8788,,,,,,False,False,
8789,,,,,,False,False,
8790,,,,,,False,False,
8791,,,,,,False,False,
8792,,,,,,False,False,
8793,,,,,,False,False,
8794,,,,,,False,False,
8795,,,,,,False,False,
8796,,,,,,False,False,
8797,,,,,,False,False,
8798,,,,,,False,False,
8799,,,,,,False,False,
8800,,,,,,False,False,
8801,,,,,,False,False,
8802,,,,,,False,False,
8803,,,,,,False,False,
8804,,,,,,False,False,
8805,,,,,,False,False,
8806,,,,,,False,False,
8807,,,,,,False,False,
8808,,,,,,False,False,
8809,,,,,,False,False,
8810,,,,,,False,False,
8811,,,,,,False,False,
8812,,,,,,False,False,
8813,,,,,,False,False,
8814,,,,,,False,False,
8815,,,,,,False,False,
8816,,,,,,False,False,
8817,,,,,,False,False,
8818,,,,,,False,False,
8819,,,,,,False,False,
8820,,,,,,False,False,
8821,,,,,,False,False,
8822,,,,,,False,False,
8823,,,,,,False,False,
8824,,,,,,False,False,
8825,,,,,,False,False,
8826,,,,,,False,False,
8827,,,,,,False,False,
8828,,,,,,False,False,
8829,,,,,,False,False,
8830,,,,,,False,False,
8831,,,,,,False,False,
8832,,,,,,False,False,
8833,,,,,,False,False,
8834,,,,,,False,False,
8835,,,,,,False,False,
8836,,,,,,False,False,
8837,,,,,,False,False,
8838,,,,,,False,False,
