,throttle,steer,pitch,yaw,roll,jump,boost,handbrake
2266,,,,,,False,,
2267,,,,,,False,,
2268,,,,,,False,,
2269,,,,,,False,False,
2270,,,,,,False,False,
2271,,,,,,False,False,
2272,,,0.0045589144514374185,0.4599982540409204,0.0001283206806514937,False,False,
2273,0.84375,-0.84375,,,,False,False,
2274,0.84375,-0.84375,,,,False,False,
2275,0.84375,-0.84375,0.035597821797758396,1.0,-0.00706326274008741,False,False,
2276,0.9921875,-0.9921875,,,,False,False,
2277,0.9921875,-0.9921875,,,,False,False,
2278,0.9921875,-0.9921875,,,,False,False,
2279,0.9921875,-0.9921875,,,,False,False,
2280,0.9921875,-0.9921875,,,,False,False,
2281,0.9921875,-0.171875,,,,False,True,
2282,0.9921875,-0.171875,,,,False,True,
2283,0.9921875,0.6953125,,,,False,True,
2284,0.9921875,0.6953125,,,,False,True,
2285,0.9921875,0.46875,,,,False,True,
2286,0.9921875,0.46875,,,,False,True,
2287,0.9921875,0.46875,,,,False,True,
2288,0.9921875,0.046875,,,,False,True,
2289,0.9921875,0.046875,,,,False,True,
2290,0.9921875,-0.234375,,,,False,True,
2291,0.9921875,-0.234375,,,,False,True,
2292,0.9921875,-0.6875,,,,False,True,
2293,0.9921875,-0.6875,,,,False,False,
2294,0.9921875,-0.6875,,,,False,False,
2295,0.9921875,-0.9921875,,,,False,False,
2296,0.9921875,-0.9921875,,,,False,False,
2297,0.9921875,-0.9921875,,,,False,False,
2298,0.9921875,-0.9921875,,,,False,False,
2299,0.9921875,-0.9921875,,,,False,False,
2300,0.9921875,-0.9921875,,,,False,False,
2301,0.9921875,-0.9921875,,,,False,True,
2302,0.9921875,-0.3359375,,,,False,True,
2303,0.9921875,-0.3359375,,,,False,True,
2304,0.9921875,0.03125,,,,False,True,
2305,0.9921875,0.03125,,,,False,True,
2306,0.9921875,0.03125,,,,False,True,
2307,0.9921875,-0.0,,,,False,True,
2308,0.9921875,-0.0,,,,False,True,
2309,0.9921875,-0.0859375,,,,False,True,
2310,0.9921875,-0.0859375,,,,False,True,
2311,0.9921875,-0.0859375,,,,False,True,
2312,0.9921875,0.0546875,,,,False,True,
2313,0.9921875,0.078125,,,,False,True,
2314,0.9921875,0.078125,,,,False,True,
2315,0.9921875,0.078125,,,,False,True,
2316,0.9921875,0.0859375,,,,False,True,
2317,0.9921875,0.0859375,,,,False,True,
2318,0.9921875,0.109375,,,,False,True,
2319,0.9921875,0.109375,,,,False,True,
2320,0.9921875,0.1640625,,,,False,True,
2321,0.9921875,0.1875,,,,False,True,
2322,0.9921875,0.234375,,,,False,True,
2323,0.9921875,0.234375,,,,False,True,
2324,0.9921875,0.234375,,,,False,True,
2325,0.9921875,0.375,,,,False,True,
2326,0.9921875,0.375,,,,False,True,
2327,0.9921875,0.6640625,,,,False,True,
2328,0.9921875,0.6640625,,,,False,True,
2329,0.9921875,0.9921875,,,,False,True,
2330,0.9921875,0.9921875,,,,False,False,
2331,0.9921875,0.9921875,,,,False,False,
2332,0.9921875,-0.65625,,,,False,False,True
2333,0.9921875,-0.65625,,,,False,False,True
2334,0.9921875,-0.9921875,,,,False,False,True
2335,0.9921875,-0.9921875,,,,False,False,True
2336,0.9921875,-0.9921875,,,,False,False,True
2337,0.9921875,-0.9921875,,,,False,False,True
2338,0.9921875,-0.9921875,,,,False,False,True
2339,0.9921875,-0.9921875,,,,False,False,True
2340,0.9921875,-0.9921875,,,,False,False,True
2341,0.9921875,-0.9921875,,,,False,False,True
2342,0.9921875,-0.9921875,,,,False,False,True
2343,0.9921875,-0.9921875,,,,False,False,True
2344,0.9921875,-0.9921875,,,,False,False,True
2345,0.2109375,-0.9921875,,,,False,False,False
2346,0.2109375,-0.9921875,,,,False,False,False
2347,0.2109375,-0.9921875,,,,False,False,False
2348,-1.0,1.0,,,,False,False,False
2349,-1.0,1.0,,,,False,False,False
2350,0.875,1.0,,,,False,False,False
2351,0.875,1.0,,,,False,False,False
2352,-1.0,0.21875,,,,False,False,False
2353,-1.0,0.21875,,,,False,False,False
2354,-1.0,0.21875,,,,False,False,False
2355,0.9921875,-0.9921875,,,,False,False,False
2356,0.9921875,-0.9921875,,,,False,False,False
2357,0.9921875,-0.9921875,,,,False,False,False
2358,0.9921875,-0.9921875,,,,False,False,False
2359,0.9921875,-0.9921875,,,,False,False,False
2360,0.9921875,-0.9921875,,,,False,False,False
2361,0.9921875,-0.9921875,,,,False,False,False
2362,0.9921875,-0.9921875,,,,False,False,False
2363,0.9921875,-0.9921875,,,,False,False,False
2364,0.9921875,-0.9921875,,,,False,False,False
2365,0.9921875,-0.9921875,,,,False,False,False
2366,0.9921875,-0.9921875,,,,False,False,False
2367,0.9921875,-0.9921875,,,,False,False,False
