,throttle,steer,pitch,yaw,roll,jump,boost,handbrake
146,0.9921875,-0.0,-0.0001768388308717604,5.589236462412731e-06,3.798297212879486e-07,False,False,
147,0.9921875,-0.0,,,,False,False,
148,0.9921875,-0.0,0.0003531815902264139,-6.878951796335487e-06,-3.2318158655420443e-06,False,False,
149,0.9921875,-0.0,,,,False,False,
150,0.9921875,-0.0,0.0003761973127927877,-7.237333668304825e-06,-3.4963203853249507e-06,False,False,
151,0.9921875,-0.0,,,,False,False,
152,0.9921875,-0.0,0.03517307337510463,1.0,0.0020077147863135315,False,False,
153,0.9921875,-0.9921875,,,,False,False,
154,0.9921875,-0.9921875,0.030781870777337763,1.0,-0.0031720664597756506,False,False,
155,0.9921875,-0.9921875,,,,False,False,
156,0.9921875,-0.9921875,0.01599869052159835,0.795574414240926,-0.001496706100085978,False,False,
157,0.9921875,-0.9921875,,,,False,False,
158,0.9921875,-0.9921875,0.01299878210123876,0.5883496518200821,-0.0017451884178492465,False,False,
159,0.9921875,-0.9921875,,,,False,False,
160,0.9921875,-0.9921875,,,,False,False,
161,0.9921875,-0.9921875,-0.043157000275205235,-1.0,0.004985895145856508,False,False,
162,0.9921875,-0.0,,,,False,False,
163,0.9921875,-0.0,-0.006062439023269286,-1.0,0.005646623556421343,False,False,
164,0.9921875,-0.0,,,,False,False,
165,0.9921875,-0.0,-0.0046670928204283,-0.6261545267647457,0.0013699997737207255,False,False,
166,0.9921875,-0.0,,,,False,False,
167,0.9921875,-0.0,-0.0014831201938717154,-0.12873726837724558,0.00038863903182226344,False,False,
168,0.9921875,-0.0,-0.008477775804915932,-0.6273796468261742,0.002180312250241071,False,False,
169,0.9921875,0.3828125,,,,False,False,
170,0.9921875,0.3828125,,,,False,False,
171,0.9921875,0.3828125,-0.01941828621433323,-1.0,0.009287795855976565,False,False,
172,0.9921875,0.734375,0.019015313276979733,1.0,-0.004104798428886579,False,False,
173,0.9921875,-0.0,,,,False,False,
174,0.9921875,-0.0,0.026457311810024253,1.0,-0.007287044500042238,False,False,
175,0.9921875,-0.640625,,,,False,False,
176,0.9921875,-0.640625,0.011850502551879642,1.0,-0.005555891287252908,False,False,
177,0.9921875,-0.65625,,,,False,False,
178,0.9921875,-0.65625,-0.01855829823291063,-1.0,0.005890834675789879,False,False,
179,0.9921875,0.0078125,,,,False,False,
180,0.9921875,0.0078125,-0.02649308908755975,-1.0,0.008161215541248518,False,True,
181,0.9921875,0.734375,,,,False,True,
182,0.9921875,0.734375,-0.0011653181571980734,-0.8143640056910827,0.003542699678563533,False,True,
183,0.9921875,0.4140625,,,,False,True,
184,0.9921875,0.4140625,0.011712193734688164,1.0,-0.00545352651021205,False,True,
185,0.9921875,-0.0,,,,False,True,
186,0.9921875,-0.0,0.002281728251120278,0.4446581472129677,-0.0009236026716098555,False,True,
187,0.9921875,-0.0,0.004357984723694128,0.21543540910552614,-0.0002916617695062741,False,True,
188,0.9921875,-0.2421875,0.035861545865408885,1.0,-0.00793097153336679,False,True,
189,0.9921875,-0.9921875,,,,False,True,
190,0.9921875,-0.9921875,-0.01157249753576094,0.35070289349467276,-0.0027594785291497155,False,True,
191,0.9921875,-0.0,,,,False,True,
192,0.9921875,-0.0,-0.009343488670790967,-1.0,0.006753663772206351,False,True,
193,0.9921875,0.2578125,,,,False,True,
194,0.9921875,0.2578125,,,,False,True,
195,0.9921875,0.2578125,-0.01872756579771441,-1.0,0.009001975467247765,False,True,
196,0.9921875,0.703125,-0.005714945892124767,-0.7498067189431902,0.0036473721198264923,False,True,
197,0.9921875,0.59375,,,,False,True,
198,0.9921875,0.59375,0.012672935066348472,1.0,-0.004414635392358076,False,True,
199,0.9921875,-0.0,,,,False,True,
200,0.9921875,-0.0,0.0016743295338790725,0.6066285766069941,-0.0014028535608357003,False,True,
201,0.9921875,-0.0,,,,False,True,
202,0.9921875,-0.0,0.002163089689275885,0.16837211118142795,-0.00038561025367482967,False,True,
203,0.9921875,-0.0,,,,False,True,
204,0.9921875,-0.0,0.0008426638906546421,0.06794427667574732,-0.00011114700052050353,False,True,
205,0.9921875,-0.0,,,,False,True,
206,0.9921875,-0.0,0.00037699737436669575,0.02415773347467373,-5.7344328448000445e-05,False,True,
207,0.9921875,-0.0,1.742334814939378e-06,0.008900859838019347,-3.260739481531853e-05,False,True,
208,0.9921875,-0.0,,,,False,True,
209,0.9921875,-0.0,-4.8073213453860814e-05,0.003396162736690791,-2.0861182775246797e-05,False,True,
210,0.9921875,-0.0,,,,False,True,
211,0.9921875,-0.0,-7.260522853429475e-05,0.0007219803801471327,-1.4917177096553554e-05,False,True,
212,0.9921875,-0.0,,,,False,True,
213,0.9921875,-0.0,,,,False,True,
214,0.9921875,-0.0,,,,False,True,
215,0.9921875,-0.0,-0.0002907131947498382,-0.0217075539390302,4.4448289297659306e-05,False,True,
216,0.9921875,0.0078125,,,,False,True,
217,0.9921875,0.0078125,-0.02440627252915073,-1.0,0.004464953521135307,False,True,
218,0.9921875,0.765625,,,,False,True,
219,0.9921875,0.765625,-0.010920033240420832,-1.0,0.006246125416460123,False,True,
220,0.9921875,0.859375,,,,False,False,
221,0.9921875,0.859375,0.01728482731223155,1.0,-0.0013253713456553894,False,False,
222,0.9921875,-0.0,,,,False,False,
223,0.9921875,-0.0,0.0054883978699480016,1.0,-0.002867316701503738,False,False,
224,0.9921875,-0.0,0.013687597359606351,1.0,-0.0014961767086827907,False,False,
225,0.9921875,-0.34375,0.004789701705491918,0.38805748252395394,-0.0008096041347691346,False,False,
226,0.9921875,-0.40625,,,,False,False,
227,0.9921875,-0.40625,0.003955652754947633,0.6137293451076783,-0.0025297059912411618,False,False,
228,0.9921875,-0.1015625,,,,False,False,
229,0.9921875,-0.1015625,-0.006500424247592642,-0.9853784776117908,0.0019734651962655535,False,False,
230,0.9921875,-0.0,-0.002266338144246304,-0.2725464056435554,0.0005583209790727233,False,False,
231,0.9921875,-0.0,,,,False,False,
232,0.9921875,-0.0,-0.0008413228534775001,-0.08463535206889533,0.00014254025699427726,False,False,
233,0.9921875,-0.0,,,,True,False,
234,0.9921875,-0.0,-9.945466890274054e-05,-0.011365484270853534,1.1338632037931007e-05,True,False,
235,0.9921875,-0.0,,,,True,False,
236,0.9921875,-0.0,-2.931079255115353e-05,-0.004228036153944189,-9.603033273157056e-08,True,False,
237,0.9921875,-0.0,,,,False,False,
238,0.9921875,-0.0,-4.8842992713252695e-06,-0.0016725511029521693,-3.8043563978786142e-06,False,False,
239,0.9921875,-0.0,,,,False,False,
240,0.9921875,-0.0,-2.725049124490556e-05,-0.0035838298173203565,1.2642881305397576e-06,False,False,
241,0.9921875,-0.0,,,,False,False,
242,0.9921875,-0.0,1.0,-1.0,1.0,False,False,
243,0.9921875,-0.0,0.27423862212546496,1.0,0.6903605387914041,True,False,
244,0.9921875,-0.0,,,,True,False,
245,0.9921875,-0.0,0.17093111038884024,1.0,1.0,True,False,
246,0.9921875,-0.0,-1.0,1.0,-0.3370443758149466,False,False,
247,0.9921875,-0.0,0.020908796736720404,1.0,-0.011015581052679994,False,False,
248,0.9921875,-0.0,0.21290597921604665,-0.12489002141986666,0.10452988961130906,True,False,
249,0.9921875,-0.0,0.03511469671529972,-0.028000826537817047,0.0349446325996542,True,False,
250,0.9921875,-0.0,-0.32813750765766087,1.0,-0.02651408872122612,False,False,
251,0.9921875,-0.0,0.019309932576469367,-0.016880136398990393,0.0016566376546908335,False,False,
252,0.9921875,-0.0,-0.21517914440625413,0.9966784335851256,-0.009134196163126123,False,False,
253,0.9921875,-0.0,,,,False,False,
254,0.9921875,-0.0,0.2624534510929847,0.8131039694587018,0.0790545219755076,False,False,
255,0.9921875,1.0,,,,False,False,
256,0.9921875,1.0,1.0,1.0,0.30810368312441216,False,False,
257,0.9921875,1.0,,,,False,False,
258,0.9921875,1.0,1.0,1.0,0.4011132777856306,False,False,
259,0.9921875,1.0,0.8768450863346268,0.379730933017548,0.287009617840486,False,False,
260,0.9921875,1.0,,,,False,False,
261,0.9921875,1.0,1.0,0.27685848175280237,0.35349660592315646,False,False,
262,0.9921875,1.0,,,,False,False,
263,0.9921875,1.0,0.18681700176955984,0.049374928171757176,0.09150154406147079,False,False,
264,0.9921875,-0.0,,,,False,False,
265,0.9921875,-0.0,-0.23764955359443968,0.5149738706512051,-0.010268680630427721,False,False,
266,0.9921875,-0.0625,,,,False,False,
267,0.9921875,-0.0625,0.25140943834900653,1.0,-0.2844086177320658,False,False,
268,0.9921875,-0.4375,0.47413276405485166,1.0,-0.2402980638548196,False,False,
269,0.9921875,-0.4375,,,,False,False,
270,0.9921875,-0.4375,,,,False,False,
271,0.9921875,-0.4375,0.11294954569311763,0.6603526317221778,-0.09872691748691989,False,False,
272,0.9921875,-0.0,-0.5824599326281062,-0.11453742648110347,0.009721052691082742,False,False,
273,0.9921875,-0.0,,,,False,False,
274,0.9921875,-0.0,-0.31745962296261215,-0.01805239147495453,0.001252057262511975,False,False,
275,0.9921875,-0.0,,,,False,False,
276,0.9921875,-0.0,-0.1266338873863385,0.5253900195614059,-0.0029477570568552194,False,False,
277,0.9921875,-0.9140625,,,,False,False,
278,0.9921875,-0.9140625,0.4325739343869928,1.0,-0.03739334129692897,False,False,
279,0.9921875,-0.9375,,,,False,False,
280,0.9921875,-0.9375,0.4557091112224757,1.0,-0.03738463796166946,False,False,
281,0.9921875,-0.9375,,,,False,False,
282,0.9921875,-0.9375,0.024813277756662134,0.5394581245866426,-0.017785327623692938,False,False,
283,0.9921875,-0.0,,,,False,False,
284,0.9921875,-0.0,-0.45402908724706537,-0.5193250759721635,0.02022093795973882,False,False,
285,0.9921875,-0.0,,,,False,False,
286,0.9921875,-0.0,-0.22724655104283997,-0.4627742184600277,0.010833391597334008,False,False,
287,0.9921875,0.34375,,,,False,False,
288,0.9921875,0.34375,0.093929291470324,-1.0,0.0002561264140363049,False,False,
289,0.9921875,0.9765625,,,,False,False,
290,0.9921875,0.9765625,1.0,-1.0,-1.0,False,False,
291,0.9921875,1.0,1.0,-1.0,0.8813467357021157,False,False,
292,0.9921875,1.0,,,,False,False,
293,0.9921875,1.0,0.0070666518421754095,-0.7964665606547139,0.9488277413052241,False,False,
294,0.9921875,1.0,,,,False,False,
295,0.9921875,1.0,1.0,-0.6111991694820528,0.21025268735686237,False,False,
296,0.9921875,1.0,,,,False,False,
297,0.9921875,1.0,0.40946094227856444,-0.15730255584313838,0.1377568357154095,False,False,
298,0.9921875,1.0,,,,False,False,
299,0.9921875,1.0,0.4029772872292225,1.0,-1.0,False,False,
300,0.9921875,-0.0,,,,False,False,
301,0.9921875,-0.0,,,,False,False,
302,0.9921875,-0.0,,,,False,False,
303,0.9921875,-0.0,,,,False,False,
304,0.9921875,-0.0078125,,,,False,False,
305,0.9921875,-0.0078125,-0.015651451554848962,0.5112438297651689,0.006055910167155502,False,False,
306,0.9921875,-0.109375,,,,False,False,
307,0.9921875,-0.109375,-0.010931564028854548,0.5312408256543808,0.003049450531099939,False,True,
308,0.9921875,-0.1796875,0.0026336872674231583,-0.5669652425981492,-0.0009143830612007029,False,True,
309,0.9921875,-0.0,,,,False,True,
310,0.9921875,-0.0,0.0036517369918460246,-0.22000021524349256,3.9126520575526606e-05,False,True,
311,0.9921875,-0.0,,,,False,True,
312,0.9921875,-0.0,0.0005859933312843859,-0.0527952666406559,-0.00020363621343984567,False,True,
