,throttle,steer,pitch,yaw,roll,jump,boost,handbrake
8010,,,,,,False,,
8011,,,,,,False,,
8012,,,,,,False,,
8013,,,,,,False,,
8014,,,,,,False,,
8015,,,,,,False,,
8016,,,,,,False,,
8017,,,,,,False,,
8018,,,,,,False,,
8019,,,,,,False,,
8020,,,,,,False,,
8021,,,,,,False,,
8022,,,,,,False,,
8023,,,,,,False,,
8024,,,,,,False,,
8025,,,,,,False,,
8026,,,,,,False,,
8027,,,,,,False,,
8028,,,,,,False,,
8029,,,,,,False,,
8030,,,,,,False,,
8031,,,,,,False,,
8032,,,,,,False,,
8033,,,,,,False,,
8034,,,,,,False,,
8035,,,,,,False,,
8036,,,,,,False,,
8037,,,,,,False,,
8038,,,,,,False,,
8039,,,,,,False,,
8040,,,,,,False,,
8041,,,,,,False,,
8042,,,,,,False,,
8043,,,,,,False,,
8044,,,,,,False,,
8045,,,,,,False,,
8046,,,,,,False,,
8047,,,,,,False,,
8048,,,,,,False,,
8049,,,,,,False,,
8050,,,,,,False,,
8051,,,,,,False,,
8052,,,,,,False,,
8053,,,,,,False,,
8054,,,,,,False,,
8055,,,,,,False,,
8056,,,,,,False,,
8057,,,,,,False,,
8058,,,,,,False,,
8059,,,,,,False,,
8060,,,,,,False,,
8061,,,,,,False,,
8062,,,,,,False,,
8063,,,,,,False,,
8064,,,,,,False,,
8065,,,,,,False,,
8066,,,,,,False,,
8067,,,,,,False,,
8068,,,,,,False,,
8069,,,,,,False,,
8070,,,,,,False,,
8071,,,,,,False,,
8072,,,,,,False,,
8073,,,,,,False,,
8074,,,,,,False,,
8075,,,,,,False,,
8076,,,,,,False,,
8077,,,,,,False,,
8078,,,,,,False,,
8079,,,,,,False,,
8080,,,,,,False,,
8081,,,,,,False,,
8082,,,,,,False,,
8083,,,,,,False,,
8084,,,,,,False,,
8085,,,,,,False,,
8086,,,,,,False,,
8087,,,,,,False,,
8088,,,,,,False,,
8089,,,,,,False,,
8090,,,,,,False,,
8091,,,,,,False,,
8092,,,,,,False,,
8093,,,,,,False,,
8094,,,,,,False,,
8095,,,,,,False,,
8096,,,,,,False,,
8097,,,,,,False,,
8098,,,,,,False,,
8099,,,,,,False,,
8100,,,,,,False,,
8101,,,,,,False,,
8102,,,,,,False,,
8103,,,,,,False,,
8104,,,,,,False,,
8105,,,,,,False,,
8106,,,,,,False,,
8107,,,,,,False,,
8108,,,,,,False,,
8109,,,,,,False,,
8110,,,,,,False,,
8111,,,,,,False,,
8112,,,,,,False,,
8113,,,,,,False,,
8114,,,,,,False,,
8115,,,,,,False,,
8116,,,,,,False,,
8117,,,,,,False,,
8118,,,,,,False,,
8119,,,,,,False,,
8120,,,,,,False,,
8121,,,,,,False,,
8122,,,,,,False,,
8123,,,,,,False,,
8124,,,,,,False,,
8125,,,,,,False,,
8126,,,,,,False,,
8127,,,,,,False,False,
8128,,,,,,False,False,
8129,,,,,,False,False,
8130,,,,,,False,False,
8131,,,,,,False,False,
8132,,,,,,False,False,
8133,,,,,,False,False,
8134,,,,,,False,False,
8135,,,,,,False,False,
8136,,,,,,False,False,
8137,,,,,,False,False,
8138,,,,,,False,False,
8139,,,,,,False,False,
8140,,,,,,False,False,
8141,,,,,,False,False,
8142,,,,,,False,False,
8143,,,,,,False,False,
8144,,,,,,False,False,
8145,,,,,,False,False,
8146,,,,,,False,False,
8147,,,,,,False,False,
8148,,,,,,False,False,
8149,,,,,,False,False,
8150,,,,,,False,False,
8151,,,,,,False,False,
8152,,,,,,False,False,
8153,,,,,,False,False,
8154,,,,,,False,False,
8155,,,,,,False,False,
8156,,,,,,False,False,
8157,,,,,,False,False,
8158,,,,,,False,False,
8159,,,,,,False,False,
8160,,,,,,False,False,
8161,,,,,,False,False,
8162,,,,,,False,False,
8163,,,,,,False,False,
8164,,,,,,False,False,
8165,,,,,,False,False,
8166,,,,,,False,False,
8167,,,,,,False,False,
8168,,,,,,False,False,
8169,,,,,,False,False,
8170,,,,,,False,False,
8171,,,,,,False,False,
8172,,,,,,False,False,
8173,,,,,,False,False,
8174,,,,,,False,False,
8175,,,,,,False,False,
8176,,,,,,False,False,
8177,,,,,,False,False,
8178,,,,,,False,False,
8179,,,,,,False,False,
8180,,,,,,False,False,
8181,,,,,,False,False,
8182,,,,,,False,False,
8183,,,,,,False,False,
8184,,,,,,False,False,
8185,,,,,,False,False,
8186,,,,,,False,False,
8187,,,,,,False,False,
8188,,,,,,False,False,
8189,,,,,,False,False,
8190,,,,,,False,False,
8191,,,,,,False,False,
8192,,,,,,False,False,
8193,,,,,,False,False,
8194,,,,,,False,False,
8195,,,,,,False,False,
8196,,,,,,False,False,
8197,,,,,,False,False,
8198,,,,,,False,False,
8199,,,,,,False,False,
8200,,,,,,False,False,
8201,,,,,,False,False,
8202,,,,,,False,False,
8203,,,,,,False,False,
8204,,,,,,False,False,
8205,,,,,,False,False,
8206,,,,,,False,False,
8207,,,,,,False,False,
8208,,,,,,False,False,
8209,,,,,,False,False,
8210,,,,,,False,False,
8211,,,,,,False,False,
8212,,,,,,False,False,
8213,,,,,,False,False,
8214,,,,,,False,False,
8215,,,,,,False,False,
8216,,,,,,False,False,
8217,,,,,,False,False,
8218,,,,,,False,False,
8219,,,,,,False,False,
8220,,,,,,False,False,
8221,,,,,,False,False,
8222,,,,,,False,False,
8223,,,,,,False,False,
8224,,,,,,False,False,
8225,,,,,,False,False,
8226,,,,,,False,False,
8227,,,,,,False,False,
8228,,,,,,False,False,
8229,,,,,,False,False,
8230,,,,,,False,False,
8231,,,,,,False,False,
8232,,,,,,False,False,
